City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707167032
1,albany,42.6001,-73.9662,3.94,41,1,1.34,US,1707166787
2,iqaluit,63.7506,-68.5145,-19.06,77,100,1.03,CA,1707167032
3,edinburgh of the seven seas,-37.0676,-12.3116,15.77,63,2,1.95,SH,1707167032
4,grytviken,-54.2811,-36.5092,7.48,69,87,5.67,GS,1707167033
5,hermanus,-34.4187,19.2345,20.45,85,2,1.8,ZA,1707167033
6,prince rupert,54.3161,-130.3201,2.83,87,0,2.57,CA,1707167033
7,ushuaia,-54.8,-68.3,14.81,41,0,7.2,AR,1707167033
8,adamstown,-25.066,-130.1015,24.12,83,100,6.98,PN,1707167033
9,hawaiian paradise park,19.5933,-154.9731,21.69,83,78,0.89,US,1707167033
10,shahr-e babak,30.1165,55.1186,2.28,21,0,1.92,IR,1707167034
11,west island,-12.1568,96.8225,26.99,89,75,4.12,CC,1707167034
12,craig,40.5153,-107.5464,2.79,95,63,0.83,US,1707166948
13,waitangi,-43.9535,-176.5597,18.23,85,96,8.67,NZ,1707167034
14,luderitz,-26.6481,15.1594,19.2,88,0,3.88,NA,1707167034
15,caleta de carquin,-11.0925,-77.6267,26.32,71,30,4.33,PE,1707167034
16,ust'-talovka,50.5493,81.85,-15.11,93,49,1.88,KZ,1707167034
17,keflavik,64.0049,-22.5624,-6.05,73,40,10.29,IS,1707167035
18,tinogasta,-28.0632,-67.5649,31.88,33,75,2.39,AR,1707167035
19,yellowknife,62.456,-114.3525,-22.47,77,20,3.6,CA,1707167035
20,pisco,-13.7,-76.2167,30.03,58,0,7.2,PE,1707167035
21,puerto natales,-51.7236,-72.4875,16.25,39,20,16.46,CL,1707167035
22,crane,31.3974,-102.3501,14.62,38,4,2.43,US,1707167035
23,vadso,70.0744,29.7487,-5.91,86,75,0.0,NO,1707167035
24,luebo,-5.35,21.4167,21.22,95,90,0.27,CD,1707167035
25,carnarvon,-24.8667,113.6333,27.48,34,10,8.76,AU,1707167036
26,bor,56.3567,44.0669,-6.04,97,100,1.71,RU,1707167036
27,port mathurin,-19.6833,63.4167,25.73,70,53,7.48,MU,1707167036
28,brookings,44.3114,-96.7984,7.99,77,0,6.17,US,1707166891
29,isafjordur,66.0755,-23.124,-7.82,73,100,3.62,IS,1707167036
30,ostrov,57.3439,28.3537,-1.15,92,29,3.82,RU,1707166930
31,bredasdorp,-34.5322,20.0403,22.05,75,1,1.47,ZA,1707167036
32,tuy hoa,13.0833,109.3,21.46,94,48,1.97,VN,1707167037
33,port-aux-francais,-49.35,70.2167,5.82,85,99,12.72,TF,1707167037
34,medicine hat,50.0501,-110.6683,-5.94,84,100,1.03,CA,1707166806
35,shalkar,47.8288,59.6258,-0.19,89,100,5.45,KZ,1707167037
36,margaret river,-33.95,115.0667,11.77,90,93,3.8,AU,1707167037
37,kingscliff,-28.2667,153.5667,25.53,94,100,2.57,AU,1707167037
38,badger,64.8,-147.5333,-17.33,94,18,0.71,US,1707166918
39,monrovia,6.3005,-10.7969,26.87,85,25,3.11,LR,1707167037
40,tazovsky,67.4667,78.7,-24.97,100,60,3.93,RU,1707167038
41,tura,25.5198,90.2201,16.16,57,100,0.29,IN,1707167038
42,quatre cocos,-20.2078,57.7625,25.06,69,78,4.54,MU,1707167038
43,constantia,44.1833,28.65,11.5,73,65,7.32,RO,1707166846
